what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1293352454859
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1293352454875
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1293352454875
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1293352454875
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1293352454875
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1293352454875
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1293352454875
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1293352454875
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1293352454890
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1293352454890
started,bundle,com.android.ide.eclipse.adt,0.9.8.v201008281755-53891,"com.android.ide.eclipse.adt",1293352454890
started,bundle,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms",1293352454890
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1293352454890
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1293352454890
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1293352454890
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1293352454890
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1293352454890
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.context.ui",1293352454890
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1293352454890
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.1.v20100730-0100-e3x,"org.eclipse.mylyn.tasks.ui",1293352454890
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1293352454890
os,sysinfo,,,"win32",1293352454906
arch,sysinfo,,,"x86",1293352454906
ws,sysinfo,,,"win32",1293352454906
locale,sysinfo,,,"en_US",1293352454906
processors,sysinfo,,,"2",1293352454906
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1293352454906
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1293352454906
java.specification.name,sysinfo,,,"Java Platform API Specification",1293352454906
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1293352454906
java.specification.version,sysinfo,,,"1.6",1293352454906
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1293352454906
java.version,sysinfo,,,"1.6.0_21",1293352454906
java.vm.info,sysinfo,,,"mixed mode",1293352454906
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1293352454906
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1293352454906
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1293352454906
java.vm.specification.version,sysinfo,,,"1.0",1293352454906
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1293352454906
java.vm.version,sysinfo,,,"17.0-b17",1293352454906
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293352607093
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293352672281
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1293352673812
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1293352673921
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293352688265
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293352688265
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293352688265
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293352844562
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293352845109
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293352845125
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293352845265
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293352866250
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293352867937
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293353067156
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1293353071250
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.LogCatView",1293353075546
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1293353077015
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293353082125
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293353340843
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1293353341968
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1293353342031
